
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.969w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.215w    240 calls
DFH: initialize()                   :      0.000u      0.000s      5.265w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.679w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.161w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.182w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.069w     80 calls
HF: Guess                           :      0.000u      0.000s     10.744w     80 calls
SAD Guess                           :      0.000u      0.000s     10.525w     80 calls
HF: Form G                          :      0.000u      0.000s      0.427w    703 calls
JK: D                               :      0.000u      0.000s      0.017w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.043w    703 calls
JK: JK                              :      0.000u      0.000s      0.306w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.299w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.084w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.181w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.105w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.169w    623 calls
HF: Form C                          :      0.000u      0.000s      1.268w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.969w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.661w     80 calls
DFH: initialize()                   :      0.000u      0.000s      5.265w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.553w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      0.679w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.161w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.182w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.069w     80 calls
HF: Guess                           :      0.000u      0.000s     10.744w     80 calls
| SAD Guess                         :      0.000u      0.000s     10.525w     80 calls
HF: Form G                          :      0.000u      0.000s      0.427w    703 calls
| JK: D                             :      0.000u      0.000s      0.017w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.043w    703 calls
| JK: JK                            :      0.000u      0.000s      0.306w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.299w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.084w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.181w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.105w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.169w    623 calls
HF: Form C                          :      0.000u      0.000s      1.268w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:28:29 2023
Timers Off: Sun Nov 12 11:30:24 2023

Wall Time:      115.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.013w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.461w    240 calls
DFH: initialize()                   :      0.000u      0.000s      5.599w     80 calls
DFH: AO Construction                :      0.000u      0.000s      0.676w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.112w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.249w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.045w     80 calls
HF: Guess                           :      0.000u      0.000s     11.386w     80 calls
SAD Guess                           :      0.000u      0.000s     11.147w     80 calls
HF: Form G                          :      0.000u      0.000s      0.444w    703 calls
JK: D                               :      0.000u      0.000s      0.023w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.042w    703 calls
JK: JK                              :      0.000u      0.000s      0.317w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.310w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.085w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.185w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.027w    703 calls
HF: Form F                          :      0.000u      0.000s      0.111w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.820w    623 calls
HF: Form C                          :      0.000u      0.000s      1.110w    623 calls
